-58.040, -48.000, 87.239
-57.074, -47.742, 97.945
-56.094, -47.545, 117.688
-55.110, -47.367, 123.207
-54.125, -47.191, 119.558
-53.142, -47.010, 115.231
-52.161, -46.818, 111.495
-51.183, -46.609, 108.288
-50.210, -46.379, 104.796
-49.243, -46.125, 100.847
-48.284, -45.839, 96.942
-47.338, -45.516, 91.958
-46.407, -45.150, 86.202
-45.500, -44.731, 80.175
-44.625, -44.248, 77.762
-43.796, -43.689, 77.762
-43.035, -43.042, 77.762
-42.361, -42.303, 80.092
-41.756, -41.508, 85.628
-41.209, -40.671, 89.882
-40.714, -39.802, 93.818
-40.265, -38.909, 97.009
-39.856, -37.996, 100.321
-39.484, -37.068, 103.307
-39.143, -36.128, 105.697
-38.831, -35.178, 107.958
-38.542, -34.221, 110.024
-38.275, -33.257, 111.768
-38.028, -32.288, 113.303
-37.797, -31.315, 115.112
-37.582, -30.339, 116.200
-37.379, -29.359, 117.472
-37.188, -28.378, 118.911
-37.007, -27.394, 119.887
-36.835, -26.409, 120.958
-36.670, -25.423, 118.208
-36.511, -24.436, 110.318
-36.366, -23.446, 107.535
-36.248, -22.453, 110.602
-36.153, -21.458, 113.312
-36.075, -20.461, 115.423
-36.013, -19.463, 117.086
-35.963, -18.464, 118.412
-35.924, -17.465, 119.485
-35.893, -16.465, 120.218
-35.871, -15.465, 120.944
-35.857, -14.466, 121.775
-35.848, -13.466, 122.386
-35.845, -12.466, 122.828
-35.847, -11.466, 123.274
-35.854, -10.466, 123.822
-35.864, -9.466, 124.336
-35.877, -8.466, 124.819
-35.894, -7.466, 125.371
-35.912, -6.466, 126.042
-35.931, -5.466, 126.510
-35.952, -4.466, 125.858
-35.972, -3.467, 123.992
-35.989, -2.467, 120.413
-36.003, -1.467, 114.381
-36.005, -0.467, 110.944
-36.000, -0.000, 110.944
